id,alpha_bin,beta_bin,gamma_bin,delta_bin,theta_bin,alpha_beta,alpha_gamma,alpha_delta,alpha_theta,beta_alpha,beta_gamma,beta_delta,beta_theta,gamma_alpha,gamma_beta,gamma_delta,gamma_theta,delta_alpha,delta_beta,delta_gamma,delta_theta,theta_alpha,theta_beta,theta_gamma,theta_delta,min_att,max_att,mean_att_difference,sd_att_difference,min_med,max_med,mean_med_difference,sd_med_difference,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_temp,mean_temp_difference,max_temp,max_temp_difference,min_temp,min_temp_difference,difference_BVPpeaks_ampl,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,arousal
3.4,0.417184225983054,0.182225258372899,0.27329092961003,0.929805908876084,0.503468424072237,2.28938748507269,1.52652057124015,0.448678828560394,0.828620437819546,0.436798054728707,0.66678121602105,0.195982039513135,0.361939795348028,0.655084522829325,1.49974230823028,0.293922556311107,0.542816424115644,2.22876573697169,5.1025083853818,3.40225674596248,1.84680084076668,1.20682516911051,2.76289043883234,1.84224344653756,0.541476903153704,44,70,-12.8666666666667,1.87174682836929,47,75,-16.3666666666667,0.685020362602925,24.8875668299255,194.164290032501,3.10550250025289,3.10550250025289,3.10550250025289,3.10550250025289,32.189,-0.0166666666666657,32.21,0,32.16,-0.00999999999999801,-36.1546273013856,31.6219151066206,18.6309475279212,39.489167218703,126.487660426482,-45.8103333333333,-0.0208922988505732,high
3.5,0.44654080025175,0.180896349482125,0.283363294245711,1.19791900560135,0.716678800422665,2.46848983702612,1.57585971549492,0.372763766301203,0.623069637316466,0.405105982208433,0.638390197868272,0.151008831679163,0.252409237409339,0.634574251862219,1.56644009156034,0.236546288121929,0.395383948958161,2.68266417072301,6.62212924158384,4.22750239684398,1.67148659189426,1.60495703868183,3.96182013884964,2.52918714235873,0.598269830490666,30,61,0.633333333333333,-0.531169801836358,11,78,-8.86666666666667,-12.3760903374386,22.4849652768863,266.13949557537,0,0,0,0,32.406,-0.233666666666664,32.41,-0.199999999999996,32.39,-0.240000000000002,-18.8348356141447,15.14752428383,5.39337164655734,28.8635727094005,151.4752428383,-4.63133333333334,-0.0857089655172402,high
3.6,0.432545114091169,0.167059824913826,0.242046769164867,1.05628529124494,0.711168691274376,2.58916297987436,1.78703114106244,0.409496485160152,0.608217318054415,0.386225203964768,0.690196466948233,0.158157863503835,0.23490885772047,0.559587338475518,1.44886282078723,0.229149048245849,0.340350710224788,2.44202340249369,6.32279658972348,4.36397186745949,1.48528092449083,1.64414917220514,4.25697017006463,2.93814577128263,0.67327330709698,38,56,0.333333333333329,4.31639317550602,14,61,-1.26666666666667,-3.51586411337431,-580.451589657799,6415.04351873015,0,0,0,0,32.658,-0.48566666666666,32.66,-0.449999999999996,32.65,-0.5,-34.5534033856345,23.1047521831384,10.4748290300411,41.2016991716653,115.523760915692,-33.0783333333333,-0.277718965517243,high
4.1,0.899377375332912,0.265724458063407,0.302915185281408,1.6100482702736,1.00957466126093,3.38462398940448,2.96907325559592,0.558602740016036,0.890847809323594,0.295453794315258,0.87722395896577,0.165041299052637,0.263204365422091,0.336805431834753,1.13995974434964,0.188140437075177,0.300042381118277,1.79018097901076,6.05908948693542,5.31517846745736,1.5947788034445,1.12252619306465,3.79932908178151,3.33286249853416,0.627046207185685,20,87,-1.53333333333333,-13.835042342688,34,78,-11.0666666666667,-4.96988067337789,-29.6174544293711,146.230784849062,1.52114433701929,1.52114433701929,1.52114433701929,1.52114433701929,31.75,0.351333333333336,31.85,0.299999999999997,31.69,0.359999999999996,-56.6767354992239,30.998786184007,15.0591057972349,54.4010959728196,216.991503288049,28.1516666666667,0.318225555555558,high
4.2,0.691483195148779,0.274045128520878,0.224099959185189,1.67637274153464,1.03404245450162,2.52324571095632,3.08560161127633,0.412487734986529,0.668718380119176,0.396314950881654,1.22287005101333,0.163475056430471,0.26502309197059,0.324085908026979,0.817748377410462,0.133681462143101,0.216722203435254,2.42431450727295,6.11714118248566,7.48046874988199,1.62118367020298,1.49539780829979,3.77325610596593,4.61420188678892,0.616833254849399,35,48,15.2666666666667,4.44639774526704,44,75,-7.76666666666667,-1.20122675614899,-51.0347783645778,296.20769447184,2.64351293466504,2.64351293466504,2.64351293466504,2.64351293466504,31.414,0.687333333333335,31.47,0.68,31.39,0.659999999999997,-22.2797329131432,19.1156439428474,2.32544540397719,50.4682747774447,229.387727314169,9.27566666666665,-4.50380999999999,high
4.3,0.546372492578824,0.229877996257676,0.219753465639317,1.17445225762278,0.677207278198223,2.37679334896577,2.48629750156291,0.465214732257182,0.806802452023998,0.420734937025608,1.046072222747,0.195732091079611,0.339449978844423,0.402204482517234,0.955956938971182,0.187111450646893,0.324499562709947,2.14954499645376,5.10902425087395,5.34440835418003,1.73425817387481,1.23946078434855,2.94594214854354,3.08166825141101,0.576615416933989,23,63,10.0666666666667,-3.82502879677449,35,84,-12.1666666666667,-8.60426442596972,-122.853516958669,1285.13505143813,0,0,0,0,31.69,0.411333333333335,31.75,0.399999999999999,31.65,0.399999999999999,-28.6357018206042,37.989511488157,28.2155853730915,44.0235115135548,113.968534464471,21.1846666666667,0.114817777777782,high
4.4,0.62503086868305,0.184664081336543,0.21299132770338,2.0641059412332,0.970380679287023,3.38469107884578,2.93453670354829,0.30280949063575,0.644108937888464,0.29544793799646,0.867002818038271,0.0894644396140907,0.190300657544237,0.340769293766492,1.15339878855602,0.103188176269736,0.219492547872937,3.30240640047475,11.1776254824101,9.69103279222594,2.12710947908586,1.55253240744994,5.25484258911477,4.55596333311003,0.470121547495411,34,56,8.46666666666667,3.65268558264247,53,87,-21.3666666666667,-3.51214237583725,13.7846955969035,178.575994697539,1.94790192164904,1.94790192164904,1.94790192164904,1.94790192164904,31.512,0.589333333333336,31.53,0.619999999999997,31.49,0.559999999999999,-52.5485244912934,64.5837760023596,37.0302027928105,116.432372957193,193.751328007079,30.4006666666667,0.654684444444446,low
4.5,0.583620379342222,0.214278884772171,0.238195068373471,1.37659906270809,0.835319866412941,2.72364857583961,2.45017826493012,0.423958140864998,0.698678916674669,0.367154562035131,0.899594127768416,0.155658165530517,0.256523151654868,0.408133569019526,1.11161241401237,0.173031549146115,0.285154319861129,2.35872342953412,6.42433370965013,5.77929288002594,1.64799033048206,1.43127261483638,3.89828361903733,3.50687305206179,0.606799676857015,40,90,-7.33333333333334,-6.67669159701211,48,69,-12.4666666666667,1.27388491212677,-25.6158650679872,266.93932252605,0,0,0,0,32.29,-0.188666666666663,32.31,-0.160000000000004,32.27,-0.220000000000006,-52.6480464217449,39.9890759321379,16.9363885224193,65.6036514645278,199.945379660689,-4.50533333333334,0.486484444444447,low
4.6,0.976840953367226,0.338283537816421,0.27669467238724,1.80240317422238,1.03516252430106,2.88763964002687,3.53039306806788,0.541965841681714,0.943659503155589,0.346303599015109,1.2225878254099,0.18768472151763,0.32679268218759,0.283254578376815,0.81793714873999,0.15351430598019,0.267295874697611,1.84513473560808,5.32808420373239,6.51405088024203,1.74117892785904,1.0597042647862,3.06004404170215,3.74117259060316,0.574323513798552,41,63,0.666666666666664,3.67808775313117,61,96,-32.5666666666667,-2.35878390904507,-202.328338469946,1996.7840787727,0,0,0,0,32.662,-0.560666666666663,32.68,-0.530000000000001,32.65,-0.600000000000001,-102.890315842788,39.888691744474,7.99776710617429,58.5931199664882,279.220842211318,18.5666666666667,0.491808888888891,low
5.1,0.295985527917256,0.125215089927224,0.148972695370533,0.667302714969661,0.413549946691608,2.36381675794256,1.98684414738597,0.443555108165135,0.715718936213474,0.423044636027705,0.840523759174675,0.187643609291949,0.302781056868565,0.503310740963587,1.18973436394221,0.223246050148778,0.360229028107274,2.25451129203928,5.32925157309318,4.47936256580383,1.61359642361962,1.39719651025376,3.3027165250767,2.77601170914579,0.619733649233556,35,53,-4.03333333333333,6.16441811333581,51,61,12.6333333333333,6.23270821125995,0.43205875911172,27.7215880584893,0.220822265848185,0.220822265848185,0.220822265848185,0.220822265848185,32.316,0.227999999999994,32.33,0.260000000000005,32.29,0.210000000000001,28.1771185252587,0.271202428973962,0.113533139567623,0.546418102016086,3.79683400563547,-27.635,1.88399291187739,high
